dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_epochs,ttt_chunks_per_epoch,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_split_strategy,ttt_split_reason
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data172/Fitness_Club_c,binclass,1200,240,300,6,2,0.7933333333333333,0.788070987654321,0.7337925232662075,0.8231768231768232,0.4537121777361161,28.88153386116028,0.1739373207092285,ok,,1200,960,0,300,0.346500813961029,56,5e-06,True,28.521601915359497,30,7,accuracy,0.7791666666666667,0.7791666666666667,0.7791666666666667,0.7791666666666667,0,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,/home/crc00006699/zh/tabiclv2/data172/GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,binclass,1280,256,320,20,2,0.678125,0.6732719396504724,0.6781250000000001,0.7348046875,0.5926440430909834,28.06111550331116,0.3067696094512939,ok,,1280,1024,0,320,0.6931426525115967,56,5e-06,True,27.555487871170044,30,7,accuracy,0.65625,0.65625,0.65625,0.65625,0,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/home/crc00006699/zh/tabiclv2/data172/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.68125,0.6808011265842591,0.68125,0.7559374999999999,0.551949202418671,35.412314653396606,0.2719712257385254,ok,,1280,1024,0,320,0.6600500345230103,63,5e-06,True,34.923911571502686,30,7,accuracy,0.671875,0.67578125,0.671875,0.67578125,1,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Gender_Gap_in_Spanish_WP,/home/crc00006699/zh/tabiclv2/data172/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.6094736842105263,0.5371368991391591,0.4094036340883704,0.6998973216766596,0.7964829254314189,93.84614729881288,0.701685905456543,ok,,3796,3036,0,950,0.6223323941230774,210,5e-06,True,92.92012524604796,30,21,accuracy,0.625,0.6276315789473684,0.625,0.6276315789473684,2,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
GesturePhaseSegmentationProcessed,/home/crc00006699/zh/tabiclv2/data172/GesturePhaseSegmentationProcessed,multiclass,7898,1580,1975,32,5,0.7655696202531646,0.7620752707821384,0.7262180145962597,0.9419601897366024,0.666698557478418,196.3748345375061,6.775106430053711,ok,,7898,6318,0,1975,1.5244271755218506,343,5e-06,True,189.2636570930481,30,43,accuracy,0.7449367088607595,0.7449367088607595,0.7449367088607595,0.7449367088607595,0,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
HR_Analytics_Job_Change_of_Data_Scientists,/home/crc00006699/zh/tabiclv2/data172/HR_Analytics_Job_Change_of_Data_Scientists,binclass,15326,3066,3832,13,2,0.7985386221294363,0.7998997425916476,0.7378173526451892,0.8020920570620574,0.4375540097698114,558.5954759120941,4.103996753692627,ok,,15326,12260,0,3832,0.4253398478031158,1148,5e-06,True,554.178863286972,30,82,accuracy,0.8033268101761253,0.8088714938030006,0.8033268101761253,0.8088714938030006,6,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Heart-Disease-Dataset-(Comprehensive),/home/crc00006699/zh/tabiclv2/data200/Heart-Disease-Dataset-(Comprehensive),binclass,952,191,238,11,2,0.9495798319327732,0.9494787388639668,0.9473496468573874,0.9808090176214596,0.1619130135261313,38.27969217300415,0.1845893859863281,ok,,952,761,0,238,0.6495050191879272,90,5e-06,True,37.873162031173706,30,6,accuracy,0.8952879581151832,0.900523560209424,0.8952879581151832,0.900523560209424,7,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
INNHotelsGroup,/home/crc00006699/zh/tabiclv2/data172/INNHotelsGroup,binclass,29020,5804,7255,17,2,0.8981392143349414,0.8971032406469207,0.8750729840070803,0.9551607821505224,0.2443375727853931,679.170737028122,20.77563166618347,ok,,29020,23216,0,7255,0.3482609391212463,1240,5e-06,True,657.8354253768921,30,155,accuracy,0.9017918676774638,0.9017918676774638,0.9017918676774638,0.9017918676774638,0,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Indian_pines,/home/crc00006699/zh/tabiclv2/data172/Indian_pines,multiclass,0,0,0,0,0,,,,,,0.0,0.0,fail,"OutOfMemoryError: CUDA out of memory. Tried to allocate 20.00 MiB. GPU 0 has a total capacity of 23.57 GiB of which 12.00 MiB is free. Process 53998 has 23.55 GiB memory in use. Of the allocated memory 23.11 GiB is allocated by PyTorch, and 95.58 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",0,0,0,0,,0,,False,0.0,0,0,,,,,,0,False,False,,,
Insurance,/home/crc00006699/zh/tabiclv2/data200/Insurance,binclass,18838,3768,4710,10,2,0.7575371549893843,0.6530303380048618,0.5,0.5041246426692216,0.5554071482076273,357.2671465873718,4.146127939224243,ok,,18838,15070,0,4710,0.6046447157859802,808,5e-06,True,352.85402059555054,30,101,accuracy,0.7579617834394905,0.7579617834394905,0.7579617834394905,0.7579617834394905,0,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Intersectional-Bias-Assessment,/home/crc00006699/zh/tabiclv2/data200/Intersectional-Bias-Assessment,binclass,8800,1760,2200,19,2,0.9481818181818182,0.9481814755641472,0.9481739343163484,0.9899995950249224,0.1316050465625302,240.6885266304016,2.535760402679444,ok,,8800,7040,0,2200,0.0907677859067916,517,5e-06,True,237.87134385108948,30,47,accuracy,0.9494318181818182,0.9522727272727272,0.9494318181818182,0.9522727272727272,3,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
Is-this-a-good-customer,/home/crc00006699/zh/tabiclv2/data200/Is-this-a-good-customer,binclass,1378,276,345,13,2,0.8840579710144928,0.829654403567447,0.5,0.7389344262295082,0.325404892905059,28.59251284599304,0.2614607810974121,ok,,1378,1102,0,345,0.5020240545272827,64,5e-06,True,28.137916088104248,30,8,accuracy,0.9130434782608696,0.9130434782608696,0.9130434782608696,0.9130434782608696,0,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
JapaneseVowels,/home/crc00006699/zh/tabiclv2/data172/JapaneseVowels,multiclass,7968,1594,1993,14,9,0.9984947315604616,0.9984962009583066,0.998459952914436,0.9999966906548896,0.0087204739100034,172.4162049293518,1.8316476345062256,ok,,7968,6374,0,1993,0.6020251512527466,387,5e-06,True,170.33416724205017,30,43,accuracy,0.9956085319949812,0.9968632371392724,0.9956085319949812,0.9968632371392724,1,True,False,,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split
