model,comparison,left_method,right_method,dataset_name,stage,metric,left_value,right_value,delta
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0101_seed42,stage1,accuracy,0.5190311418685121,0.5224913494809689,-0.0034602076124568004
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0102_seed42,stage1,accuracy,0.6349480968858131,0.6349480968858131,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0103_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0104_seed42,stage1,accuracy,0.9953198127925117,0.9953198127925116,1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0105_seed42,stage1,accuracy,0.7535101404056163,0.7550702028081123,-0.0015600624024960652
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0106_seed42,stage1,accuracy,0.5054602184087363,0.5039001560062403,0.0015600624024960652
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0107_seed42,stage1,accuracy,0.22932917316692666,0.2293291731669266,5.551115123125783e-17
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0108_seed42,stage1,accuracy,0.8412698412698413,0.8412698412698413,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0109_seed42,stage1,accuracy,0.9428571428571428,0.9428571428571428,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0110_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0111_seed42,stage1,accuracy,1.0,1.0,0.0
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0112_seed42,stage1,accuracy,0.9983361064891847,0.9983361064891848,-1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0113_seed42,stage1,accuracy,0.9883527454242929,0.9883527454242927,1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0114_seed42,stage1,accuracy,0.9983361064891847,0.9983361064891848,-1.1102230246251565e-16
tabicl-v2,ft_minus_infer,ft,infer,stage1_graph_scm_0115_seed42,stage1,accuracy,0.908485856905158,0.908485856905158,0.0
