model,comparison,left_method,right_method,scope,metric,paired_rows,right_mean,left_mean,delta_mean,delta_pp,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_ci95_low_pp,bootstrap_ci95_high_pp,wins,losses,ties,negative_transfer_rate
tabpfn-v3,faware_ft_best_minus_ft,faware_ft,ft,stage1,accuracy,171,0.801075161340485,0.8012122288454039,0.00013706750491892844,0.013706750491892844,-0.000694724897982725,0.0009350351790746253,-0.0694724897982725,0.09350351790746253,34,31,106,0.18128654970760233
tabpfn-v3,faware_ft_best_minus_ft,faware_ft,ft,stage2,accuracy,171,0.826068127102141,0.8263859911547079,0.0003178640525669054,0.03178640525669054,-0.0012992994688270732,0.002003327772769921,-0.12992994688270731,0.2003327772769921,33,35,103,0.2046783625730994
tabpfn-v3,faware_ft_best_minus_ft,faware_ft,ft,stage3,accuracy,170,0.8174005528154734,0.8172416378644893,-0.00015891495098395761,-0.015891495098395762,-0.0012748566344905033,0.0009102795636191156,-0.12748566344905032,0.09102795636191156,41,38,91,0.2235294117647059
tabpfn-v3,faware_ft_best_minus_ft,faware_ft,ft,overall,balanced_accuracy,512,0.7567054730534166,0.7569434610977236,0.00023798804430692953,0.023798804430692953,-0.0008589627006554152,0.0013638103120817773,-0.08589627006554151,0.13638103120817774,116,114,282,0.22265625
tabpfn-v3,faware_ft_best_minus_ft,faware_ft,ft,stage1,balanced_accuracy,171,0.7480448267947541,0.7482989048173001,0.00025407802254600437,0.025407802254600438,-0.0011708702387952087,0.0017079835234289854,-0.11708702387952087,0.17079835234289853,36,36,99,0.21052631578947367
tabpfn-v3,faware_ft_best_minus_ft,faware_ft,ft,stage2,balanced_accuracy,171,0.7597767590986139,0.7597937739173855,1.701481877158746e-05,0.001701481877158746,-0.002449797045932461,0.002680760432017088,-0.2449797045932461,0.2680760432017088,36,37,98,0.21637426900584794
tabpfn-v3,faware_ft_best_minus_ft,faware_ft,ft,stage3,balanced_accuracy,170,0.7623277118563729,0.7627717883435485,0.0004440764871755276,0.044407648717552754,-0.000992079019864265,0.002000120062651168,-0.09920790198642651,0.20001200626511678,44,41,85,0.2411764705882353
tabpfn-v3,faware_ft_best_minus_default,faware_ft,faware_ft_default,overall,accuracy,512,0.8144105575411236,0.8149421368300436,0.000531579288919935,0.0531579288919935,-0.00015890397415422463,0.0012393021864953839,-0.015890397415422464,0.12393021864953839,115,104,293,0.203125
tabpfn-v3,faware_ft_best_minus_default,faware_ft,faware_ft_default,stage1,accuracy,171,0.800791300869025,0.8012122288454039,0.00042092797637888234,0.042092797637888237,-0.0004880758134245926,0.0013333058149004847,-0.04880758134245926,0.13333058149004848,40,26,105,0.15204678362573099
tabpfn-v3,faware_ft_best_minus_default,faware_ft,faware_ft_default,stage2,accuracy,171,0.8256549482501138,0.8263859911547079,0.0007310429045940544,0.07310429045940543,-0.0007058501796425366,0.002282343555754965,-0.07058501796425366,0.2282343555754965,36,37,98,0.21637426900584794
tabpfn-v3,faware_ft_best_minus_default,faware_ft,faware_ft_default,stage3,accuracy,170,0.8167993933040153,0.8172416378644893,0.0004422445604743205,0.04422445604743205,-0.0006704847858157029,0.001627028421200736,-0.06704847858157029,0.1627028421200736,39,41,90,0.2411764705882353
tabpfn-v3,faware_ft_best_minus_default,faware_ft,faware_ft_default,overall,balanced_accuracy,512,0.7562372792729881,0.7569434610977236,0.0007061818247354672,0.07061818247354672,-0.000212709332381855,0.0016605310254568576,-0.0212709332381855,0.16605310254568575,120,124,268,0.2421875
tabpfn-v3,faware_ft_best_minus_default,faware_ft,faware_ft_default,stage1,balanced_accuracy,171,0.7478654573757955,0.7482989048173001,0.00043344744150469706,0.043344744150469704,-0.0008167227178219241,0.0017020282842603281,-0.08167227178219241,0.17020282842603282,41,33,97,0.19298245614035087
tabpfn-v3,faware_ft_best_minus_default,faware_ft,faware_ft_default,stage2,balanced_accuracy,171,0.7585630031888995,0.7597937739173855,0.0012307707284860416,0.12307707284860417,-0.0006123582429033167,0.003234863668721497,-0.06123582429033167,0.3234863668721497,44,39,88,0.22807017543859648
tabpfn-v3,faware_ft_best_minus_default,faware_ft,faware_ft_default,stage3,balanced_accuracy,170,0.7623189425365123,0.7627717883435485,0.0004528458070361341,0.04528458070361341,-0.0010741482715815038,0.002168697352647633,-0.10741482715815039,0.2168697352647633,35,52,83,0.3058823529411765
