dataset,model,method,reference_method,metric,shared_status_ok,method_mean,reference_mean,delta,wins,losses,ties
data184,TabPFNv3,Last-block,Infer,accuracy,183,0.8535482386741517,0.8556809404353444,-0.002132701761192494,62,96,25
data184,TabPFNv3,Last-block,Infer,balanced_accuracy,183,0.7767829638431663,0.7802266484557818,-0.0034436846126154334,63,104,16
data184,TabPFNv3,Last-block,Infer,f1,183,0.8447992365555226,0.8472008491816749,-0.002401612626152342,61,108,14
data184,TabPFNv3,Last-block,Infer,roc_auc,183,0.9011897908504539,0.9035267396407461,-0.0023369487902920286,48,131,4
data184,TabPFNv3,Last-block,Infer,log_loss,183,0.3299814611245169,0.3236390748384359,0.00634238628608105,40,143,0
data184,TabPFNv3,Last-block,FT,accuracy,183,0.8535482386741517,0.855762232261294,-0.0022139935871420885,71,87,25
data184,TabPFNv3,Last-block,FT,balanced_accuracy,183,0.7767829638431663,0.7802574245640006,-0.0034744607208343245,76,92,15
data184,TabPFNv3,Last-block,FT,f1,183,0.8447992365555226,0.8471113735867242,-0.002312137031201667,75,96,12
data184,TabPFNv3,Last-block,FT,roc_auc,183,0.9011897908504539,0.9019151504990602,-0.0007253596486063145,96,81,6
data184,TabPFNv3,Last-block,FT,log_loss,183,0.3299814611245169,0.32789292450419866,0.002088536620318214,98,85,0
data184,TabPFNv3,LoCalPFN,FT,accuracy,2,0.852191240782443,0.8544681532521547,-0.0022769124697116228,0,2,0
data184,TabPFNv3,LoCalPFN,FT,balanced_accuracy,2,0.674011995294729,0.6701435356760912,0.003868459618637743,1,1,0
data184,TabPFNv3,LoCalPFN,FT,f1,2,0.8454649529387497,0.8464877818500369,-0.001022828911287299,0,2,0
data184,TabPFNv3,LoCalPFN,FT,roc_auc,2,0.8690668200459579,0.8718744286641129,-0.0028076086181550997,1,1,0
data184,TabPFNv3,LoCalPFN,FT,log_loss,2,0.3677182498170631,0.3526880965422013,0.015030153274861804,0,2,0
OpenML-CC18,TabPFNv3,FT,Infer,accuracy,65,0.8820813487128355,0.8816452997263577,0.00043604898647774565,20,30,15
OpenML-CC18,TabPFNv3,FT,Infer,balanced_accuracy,65,0.8333045879295772,0.8349171453042398,-0.0016125573746626262,25,31,9
OpenML-CC18,TabPFNv3,FT,Infer,f1,65,0.8759988457525296,0.876547040922997,-0.0005481951704674645,22,36,7
OpenML-CC18,TabPFNv3,FT,Infer,roc_auc,65,0.9297142281652382,0.9314917896887114,-0.0017775615234733495,18,41,6
OpenML-CC18,TabPFNv3,FT,Infer,log_loss,65,0.28232887470828943,0.27818846904726163,0.004140405661027787,18,47,0
OpenML-CC18,TabPFNv3,F-aware FT,FT,accuracy,65,0.8811207685886753,0.8820813487128355,-0.0009605801241602417,20,22,23
OpenML-CC18,TabPFNv3,F-aware FT,FT,balanced_accuracy,65,0.8303833898967343,0.8333045879295772,-0.0029211980328428676,22,24,19
OpenML-CC18,TabPFNv3,F-aware FT,FT,f1,65,0.8741865318014421,0.8759988457525296,-0.0018123139510874066,22,24,19
OpenML-CC18,TabPFNv3,F-aware FT,FT,roc_auc,65,0.9289883516694349,0.9297142281652382,-0.0007258764958031589,20,28,17
OpenML-CC18,TabPFNv3,F-aware FT,FT,log_loss,65,0.2842816440765191,0.28232887470828943,0.0019527693682297052,23,29,13
OpenML-CC18,TabPFNv3,LoRA,Infer,accuracy,62,0.8848784826901646,0.8863289333768807,-0.0014504506867161827,21,29,12
OpenML-CC18,TabPFNv3,LoRA,Infer,balanced_accuracy,62,0.8351797338830416,0.8403579156514434,-0.005178181768401929,23,29,10
OpenML-CC18,TabPFNv3,LoRA,Infer,f1,62,0.8783219845675817,0.881360890070309,-0.0030389055027274974,22,33,7
OpenML-CC18,TabPFNv3,LoRA,Infer,roc_auc,62,0.9340088135958372,0.9366247549857981,-0.0026159413899609235,12,43,7
OpenML-CC18,TabPFNv3,LoRA,Infer,log_loss,62,0.28054311783394253,0.27354967042389516,0.006993447410047408,15,47,0
OpenML-CC18,TabPFNv3,LoRA,FT,accuracy,62,0.8848784826901646,0.886608739279566,-0.0017302565894014366,24,22,16
OpenML-CC18,TabPFNv3,LoRA,FT,balanced_accuracy,62,0.8351797338830416,0.8381023289856301,-0.002922595102588471,23,26,13
OpenML-CC18,TabPFNv3,LoRA,FT,f1,62,0.8783219845675817,0.880516833994443,-0.002194849426861263,28,25,9
OpenML-CC18,TabPFNv3,LoRA,FT,roc_auc,62,0.9340088135958372,0.9347030042012766,-0.0006941906054393004,27,29,6
OpenML-CC18,TabPFNv3,LoRA,FT,log_loss,62,0.28054311783394253,0.2782820601040949,0.002261057729847664,33,29,0
OpenML-CC18,TabPFNv3,ln_head_embedding,Infer,accuracy,65,0.8799609140958529,0.8816530104057131,-0.0016920963098601834,21,30,14
OpenML-CC18,TabPFNv3,ln_head_embedding,Infer,balanced_accuracy,65,0.8313787747030645,0.836937533511662,-0.005558758808597427,24,31,10
