dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_baseline_accuracy,ttt_val_best_roc_auc,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_best_accuracy
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/home/crc00006699/zh/tabiclv2/data172/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.690625,0.6904768883547792,0.690625,0.7603125000000001,0.5479384801056785,86.64120388031006,0.4645059108734131,ok,,1280,1024,0,320,,30,5e-06,True,86.64087414741516,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,False,False,,,,,
Gender_Gap_in_Spanish_WP,/home/crc00006699/zh/tabiclv2/data172/Gender_Gap_in_Spanish_WP,multiclass,3796,760,950,13,3,0.6042105263157894,0.5509991163595354,0.4153293943745959,0.7012213693307521,0.7984692152174164,36.62532234191895,0.6646924018859863,ok,,3796,3036,0,950,,60,5e-06,True,36.624959230422974,tabpfn_finetune_epoch_chunks,dataset_val_split,30,2,tabpfn_finetuning_api,,,0,False,False,,,,,
GesturePhaseSegmentationProcessed,/home/crc00006699/zh/tabiclv2/data172/GesturePhaseSegmentationProcessed,multiclass,7898,1580,1975,32,5,0.8202531645569621,0.8189805357496691,0.7930515475672615,0.9590159174694436,0.5338238718502725,84.92605185508728,1.6425294876098633,ok,,7898,6318,0,1975,,120,5e-06,True,84.92567896842957,tabpfn_finetune_epoch_chunks,dataset_val_split,30,4,tabpfn_finetuning_api,,,0,False,False,,,,,
HR_Analytics_Job_Change_of_Data_Scientists,/home/crc00006699/zh/tabiclv2/data172/HR_Analytics_Job_Change_of_Data_Scientists,binclass,15326,3066,3832,13,2,0.8016701461377871,0.8020820407713126,0.737104713861698,0.8118378837758209,0.4366049381357755,285.0700364112854,2.599416971206665,ok,,15326,12260,0,3832,,210,5e-06,True,285.06957626342773,tabpfn_finetune_epoch_chunks,dataset_val_split,30,7,tabpfn_finetuning_api,,,0,False,False,,,,,
Heart-Disease-Dataset-(Comprehensive),/home/crc00006699/zh/tabiclv2/data200/Heart-Disease-Dataset-(Comprehensive),binclass,952,191,238,11,2,0.9285714285714286,0.9286007051845062,0.9282656773917386,0.9686808874937576,0.2253413205719837,7.594396114349365,0.4438192844390869,ok,,952,761,0,238,,30,1e-05,True,7.594035148620605,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,0,True,False,,roc_auc,0.9667325428194994,0.9667325428194994,
INNHotelsGroup,/home/crc00006699/zh/tabiclv2/data172/INNHotelsGroup,binclass,29020,5804,7255,17,2,0.9026878015161958,0.9019834982501336,0.8827694440175365,0.9615317146019589,0.2272802895712353,557.4627692699432,6.90470027923584,ok,,29020,23216,0,7255,,360,5e-06,True,557.4623069763184,tabpfn_finetune_epoch_chunks,dataset_val_split,30,12,tabpfn_finetuning_api,,,0,False,False,,,,,
Indian_pines,/home/crc00006699/zh/tabiclv2/data172/Indian_pines,multiclass,7315,1463,1829,220,8,0.9770366320393656,0.9770307709477296,0.9884007936507936,0.9995477007083062,0.0735753230699594,1656.0224714279177,6.187761306762695,ok,,7315,5852,0,1829,,90,5e-06,True,1656.02205991745,tabpfn_finetune_epoch_chunks,dataset_val_split,30,3,tabpfn_finetuning_api,,,0,False,False,,,,,
Insurance,/home/crc00006699/zh/tabiclv2/data200/Insurance,binclass,18838,3768,4710,10,2,0.7575371549893843,0.6530303380048618,0.5,0.4923862284325351,0.555905106332361,149.1051309108734,3.224740743637085,ok,,18838,15070,0,4710,,240,1e-05,True,149.1047625541687,tabpfn_finetune_epoch_chunks,dataset_val_split,30,8,tabpfn_finetuning_api,,,18,True,False,,roc_auc,0.5230998375227284,0.5315600198412699,
Intersectional-Bias-Assessment,/home/crc00006699/zh/tabiclv2/data200/Intersectional-Bias-Assessment,binclass,8800,1760,2200,19,2,0.945,0.9450003750093752,0.9450064506744488,0.9902657215044246,0.1332132777823161,22.37702441215515,1.433213233947754,ok,,8800,7040,0,2200,,120,1e-05,True,22.376716375350952,tabpfn_finetune_epoch_chunks,dataset_val_split,30,4,tabpfn_finetuning_api,,,1,True,False,,roc_auc,0.99252615265401,0.9925855611520084,
Is-this-a-good-customer,/home/crc00006699/zh/tabiclv2/data200/Is-this-a-good-customer,binclass,1378,276,345,13,2,0.8840579710144928,0.829654403567447,0.5,0.7445901639344262,0.3177188862358489,14.12691044807434,0.4439241886138916,ok,,1378,1102,0,345,,30,1e-05,True,14.126452684402466,tabpfn_finetune_epoch_chunks,dataset_val_split,30,1,tabpfn_finetuning_api,,,7,True,False,,roc_auc,0.7582671957671957,0.7633928571428571,
