dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
allrep,/home/crc00006699/zh/tabiclv2/data200/allrep,multiclass,3017,604,755,29,4,0.9854304635761588,0.9849641051995724,0.7754158512720156,0.99671422716125,0.0366908685561497,17.693207263946533,1.6623170375823977,ok,,3017,2413,0,755,0.0344563368707895,16,1e-05,True,17.53732419013977,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9900662251655628,0.9917218543046358,0.9900662251655628,0.9917218543046358,8,True,False,,random,none,tabicl_encoded_l2,,,,True
analcatdata_authorship,/home/crc00006699/zh/tabiclv2/data200/analcatdata_authorship,multiclass,672,135,169,69,4,0.9940828402366864,0.9940804879569156,0.9957627118644068,0.9999242768178148,0.0105286731713866,12.272831439971924,1.3895323276519775,ok,,672,537,0,169,0.0001598468443262,8,1e-05,True,11.887299060821531,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,1.0,1.0,1.0,1.0,0,True,False,,random,none,tabicl_encoded_l2,,,,True
artificial-characters,/home/crc00006699/zh/tabiclv2/data200/artificial-characters,multiclass,8174,1635,2044,7,10,0.9608610567514676,0.960848067513188,0.9590726663183544,0.9994821929350912,0.0846327749764362,42.13725137710571,2.824955940246582,ok,,8174,6539,0,2044,0.2475842833518982,30,1e-05,True,41.99098801612854,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.8770642201834863,0.9345565749235474,0.8770642201834863,0.9345565749235474,26,False,False,,random,none,tabicl_encoded_l2,,,,True
autoUniv-au4-2500,/home/crc00006699/zh/tabiclv2/data200/autoUniv-au4-2500,multiclass,2000,400,500,100,3,0.712,0.6826340914013429,0.5153580618841399,0.7699814878473901,0.6602372470791342,35.713950395584106,2.391051769256592,ok,,2000,1600,0,500,0.7455610036849976,19,1e-05,True,35.37943434715271,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.715,0.7375,0.715,0.7375,11,True,False,,random,none,tabicl_encoded_l2,,,,True
autoUniv-au7-1100,/home/crc00006699/zh/tabiclv2/data200/autoUniv-au7-1100,multiclass,880,176,220,12,5,0.4090909090909091,0.3886906115564651,0.3933436660157567,0.7425328779703959,1.3396986205328485,6.923665046691895,1.3432812690734863,ok,,880,704,0,220,1.3519068956375122,10,1e-05,True,6.8268516063690186,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.5227272727272727,0.5284090909090909,0.5227272727272727,0.5284090909090909,2,True,False,,random,none,tabicl_encoded_l2,,,,True
bank,/home/crc00006699/zh/tabiclv2/data200/bank,binclass,36168,7234,9043,16,2,0.9097644586973348,0.9078485842407756,0.7615468156858382,0.9444037911348429,0.1836820595293419,137.5464060306549,28.803163290023804,ok,,36168,28934,0,9043,0.186267152428627,72,1e-05,True,136.62800335884094,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,3,epoch_chunk,accuracy,0.9158142106718274,0.9213436549626762,0.9158142106718274,0.9213436549626762,16,True,False,,random,none,tabicl_encoded_l2,,,,True
banknote_authentication,/home/crc00006699/zh/tabiclv2/data200/banknote_authentication,binclass,1097,220,275,4,2,0.5381818181818182,0.4413918493181166,0.4919639987142398,0.526786670952534,0.6867512734265135,4.126039743423462,0.220592975616455,ok,,1097,877,0,275,0.6799832582473755,8,1e-05,True,4.099079847335815,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.5818181818181818,0.5818181818181818,0.5818181818181818,0.5818181818181818,0,True,False,,random,none,tabicl_encoded_l2,,,,True
baseball,/home/crc00006699/zh/tabiclv2/data200/baseball,multiclass,1072,215,268,16,3,0.9477611940298508,0.9395562619715698,0.6277056277056278,0.9759100693439754,0.1324585226934551,13.290673971176147,0.7376077175140381,ok,,1072,857,0,268,0.1368103623390197,20,1e-05,True,13.227546691894531,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9488372093023256,0.9627906976744186,0.9488372093023256,0.9627906976744186,12,True,False,,random,none,tabicl_encoded_l2,,,,True
car-evaluation,/home/crc00006699/zh/tabiclv2/data200/car-evaluation,multiclass,1382,277,346,21,4,0.9855491329479767,0.985510846572902,0.9699959131777314,0.99971200002883,0.0218016210124178,9.33752942085266,1.1145639419555664,ok,,1382,1105,0,346,0.0117952967993915,10,1e-05,True,9.190701007843018,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9855595667870036,0.9891696750902528,0.9855595667870036,0.9891696750902528,2,True,False,,random,none,tabicl_encoded_l2,,,,True
churn,/home/crc00006699/zh/tabiclv2/data200/churn,binclass,4000,800,1000,20,2,0.967,0.9656316025636732,0.8948348318595761,0.9364509284257628,0.1201960727514937,16.951755046844482,2.4170784950256348,ok,,4000,3200,0,1000,0.1099971421062946,13,1e-05,True,16.790014505386353,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.97125,0.97375,0.97125,0.97375,5,True,False,,random,none,tabicl_encoded_l2,,,,True
cmc,/home/crc00006699/zh/tabiclv2/data200/cmc,multiclass,1178,236,295,9,3,0.6033898305084746,0.603394360896538,0.5784569217405039,0.769222731769628,0.8665615793431031,6.196734428405762,0.926945686340332,ok,,1178,942,0,295,0.8281038403511047,8,1e-05,True,6.13366961479187,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.5508474576271186,0.5508474576271186,0.5508474576271186,0.5508474576271186,0,True,False,,random,none,tabicl_encoded_l2,,,,True
company_bankruptcy_prediction,/home/crc00006699/zh/tabiclv2/data200/company_bankruptcy_prediction,binclass,5455,1091,1364,95,2,0.968475073313783,0.9648018136622128,0.6541666666666667,0.9640323691460057,0.0726511356807256,39.82107162475586,6.469468116760254,ok,,5455,4364,0,1364,0.0619854945689439,13,1e-05,True,38.88719749450684,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.9670027497708524,0.9688359303391384,0.9670027497708524,0.9688359303391384,5,True,False,,random,none,tabicl_encoded_l2,,,,True
compass,/home/crc00006699/zh/tabiclv2/data200/compass,binclass,13315,2663,3329,17,2,0.8849504355662361,0.8849085621439442,0.8849447404134904,0.9481550661238162,0.2805935662338425,84.95700430870056,6.34311842918396,ok,,13315,10652,0,3329,0.59459587931633,60,1e-05,True,84.6482949256897,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,accuracy,0.8043559894855427,0.8644386030792339,0.8043559894855427,0.8644386030792339,27,False,False,,random,none,tabicl_encoded_l2,,,,True
connect-4,/home/crc00006699/zh/tabiclv2/data200/connect-4,multiclass,54045,10809,13512,42,3,0.8667110716400237,0.8540939236994599,0.6989129984249969,0.9496900699114031,0.3239151731033778,429.499783039093,112.74286937713624,ok,,54045,43236,0,13512,0.5187703669071198,150,1e-05,True,425.9731595516205,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,5,epoch_chunk,accuracy,0.8538255157738921,0.8686279951891942,0.8538255157738921,0.8686279951891942,28,False,False,,random,none,tabicl_encoded_l2,,,,True
contraceptive_method_choice,/home/crc00006699/zh/tabiclv2/data200/contraceptive_method_choice,multiclass,1178,236,295,9,3,0.6372881355932203,0.6356221051172173,0.6106558709719377,0.7948118572256018,0.8236246965571389,4.20089864730835,0.4599306583404541,ok,,1178,942,0,295,0.9319765865802764,8,1e-05,True,4.157369613647461,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,1,epoch_chunk,accuracy,0.5423728813559322,0.5423728813559322,0.5423728813559322,0.5423728813559322,0,True,False,,random,none,tabicl_encoded_l2,,,,True
credit,/home/crc00006699/zh/tabiclv2/data200/credit,binclass,13371,2675,3343,10,2,0.7864193837870177,0.7864016087965143,0.7864166802676678,0.8653150135007831,0.4611746687724046,26.787266969680783,6.2298431396484375,ok,,13371,10696,0,3343,0.4968137145042419,20,1e-05,True,26.537126064300537,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split,30,2,epoch_chunk,accuracy,0.7783177570093458,0.7794392523364486,0.7783177570093458,0.7794392523364486,2,True,False,,random,none,tabicl_encoded_l2,,,,True
