dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_c_selection,ttt_c_source,ttt_c_metric,ttt_c_reserve_ratio,ttt_c_f_distance_mean,ttt_c_f_distance_std,ttt_c_fallback_reason,ttt_c_label_coverage_ok
wine,/home/crc00006699/zh/tabiclv2/data184/wine,binclass,2043,409,511,4,2,0.7651663405088063,0.7636076619640798,0.7653262867647059,0.8699295343137255,0.4493147531543623,8.034082889556885,0.5576512813568115,ok,,2043,1634,0,511,,30,1e-05,True,8.033578872680664,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.8190709046454768,0.8190709046454768,,,0,True,False,,random,none,,,,,,True
wine-quality-white,/home/crc00006699/zh/tabiclv2/data184/wine-quality-white,multiclass,3918,784,980,11,7,0.6561224489795918,0.6460108473535884,0.3822891762140657,0.8963308490073615,0.8028392083031746,17.070534229278564,0.681645393371582,ok,,3918,3134,0,980,,30,1e-05,True,17.07004976272583,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.6798469387755102,0.6887755102040817,,,8,True,False,,random,none,,,,,,True
BLE_RSSI_dataset_for_Indoor_localization,/home/crc00006699/zh/tabiclv2/data184/BLE_RSSI_dataset_for_Indoor_localization,multiclass,7987,1598,1997,3,3,0.758137205808713,0.7577771841886759,0.7578756870544007,0.9188840337868406,0.5364816665313568,25.996546506881717,0.9849441051483154,ok,,7987,6389,0,1997,,30,1e-05,True,22.122563362121586,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.7759699624530664,0.7778473091364205,,,7,True,False,,random,none,,,,,,True
BNG(cmc),/home/crc00006699/zh/tabiclv2/data184/BNG(cmc),multiclass,44236,8848,11060,9,3,0.5872513562386981,0.5854122349949082,0.5666405011123222,0.7658891431254036,0.8730739863300606,129.9259808063507,12.752584218978882,ok,,44236,35388,0,11060,,120,1e-05,True,129.92554140090942,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,4,tabpfn_finetuning_api_random,acc,0.5774186256781193,0.5791139240506329,,,6,True,False,,random,none,,,,,,True
Bank_Customer_Churn_Dataset,/home/crc00006699/zh/tabiclv2/data184/Bank_Customer_Churn_Dataset,binclass,8000,1600,2000,10,2,0.8575,0.8556543303471325,0.7678641661692509,0.8760517065601812,0.3594424414872602,12.152786493301392,1.105733871459961,ok,,8000,6400,0,2000,,30,1e-05,True,12.152246475219728,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.870625,0.870625,,,0,True,False,,random,none,,,,,,True
California-Housing-Classification,/home/crc00006699/zh/tabiclv2/data184/California-Housing-Classification,binclass,16512,3303,4128,8,2,0.9207848837209304,0.9207845908538989,0.920785921440719,0.9787500044013104,0.1882071616812243,42.543187618255615,2.6881606578826904,ok,,16512,13209,0,4128,,60,1e-05,True,42.54272174835205,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,2,tabpfn_finetuning_api_random,acc,0.9097789887980624,0.9188616409324856,,,8,True,False,,random,none,,,,,,True
Click_prediction_small,/home/crc00006699/zh/tabiclv2/data184/Click_prediction_small,binclass,31958,6392,7990,3,2,0.83279098873592,0.7592204859050842,0.5051957860291112,0.6273579240740956,0.439158606905097,44.98828339576721,6.9844183921813965,ok,,31958,25566,0,7990,,90,1e-05,True,44.98774552345276,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,3,tabpfn_finetuning_api_random,acc,0.8335419274092616,0.8335419274092616,,,0,True,False,,random,none,,,,,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),binclass,1920,384,480,30,2,0.9791666666666666,0.9791692006510168,0.9792825361512792,0.9972712736373748,0.0638224588223996,10.46670699119568,0.4662864208221435,ok,,1920,1536,0,480,,30,1e-05,True,10.466171979904177,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9739583333333334,0.9791666666666666,,,2,True,False,,random,none,,,,,,True
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),/home/crc00006699/zh/tabiclv2/data184/Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz(Urbinati),binclass,1920,384,480,30,2,0.96875,0.968752036493972,0.9687847608453838,0.9943861234705228,0.0953793856573205,11.371843099594116,0.4641683101654053,ok,,1920,1536,0,480,,30,1e-05,True,11.371424436569214,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,1,tabpfn_finetuning_api_random,acc,0.9739583333333334,0.9791666666666666,,,3,True,False,,random,none,,,,,,True
Credit_c,/home/crc00006699/zh/tabiclv2/data184/Credit_c,multiclass,80000,16000,20000,22,3,0.81325,0.8133157724270034,0.8204360748815986,0.9273300241347868,0.4407815234101476,479.7576777935028,28.646157264709476,ok,,80000,64000,0,20000,,210,1e-05,True,479.75716519355774,tabpfn_finetune_epoch_chunks_random,dataset_val_split | c_selection=random | c_source=none,30,7,tabpfn_finetuning_api_random,acc,0.8130625,0.8250625,,,22,True,False,,random,none,,,,,,True
