dataset_name,dataset_dir,task_type,n_train,n_val,n_test,n_features,n_classes,accuracy,f1,balanced_accuracy,roc_auc,log_loss,fit_seconds,predict_seconds,status,error,n_train_a,n_train_b,n_holdout_c,n_test_d,ttt_loss,ttt_steps,ttt_lr,ttt_applied,ttt_update_seconds,ttt_split_strategy,ttt_split_reason,ttt_epochs,ttt_chunks_per_epoch,ttt_batch_mode,ttt_val_eval_metric,ttt_val_baseline_metric,ttt_val_best_metric,ttt_val_baseline_accuracy,ttt_val_best_accuracy,ttt_best_epoch,ttt_stopped_early,ttt_oom_fallback,ttt_fallback_reason,ttt_col_attn_enabled,ttt_col_attn_ratio,ttt_col_attn_random_ratio,ttt_col_attn_score_mean,ttt_col_attn_score_std,ttt_col_attn_selected_attention_count,ttt_col_attn_selected_random_count,ttt_col_attn_fallback_reason,ttt_col_attn_label_coverage_ok
pc4,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/pc4,binclass,1166,234,292,37,2,0.910958904109589,0.9074272635916472,0.7582465277777778,0.9614800347222222,0.1932896215941702,7.407042980194092,0.7812583446502686,ok,,1166,932,0,292,0.1898970380425453,8,1e-05,True,7.3107750415802,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.9188034188034188,0.9188034188034188,0.9188034188034188,0.9188034188034188,0,True,False,,True,0.6,0.4,0.9930865058815608,0.008081254016953,896,592,,True
sports_articles_for_objectivity_analysis,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/sports_articles_for_objectivity_analysis,binclass,800,160,200,59,2,0.845,0.8419021663172606,0.8167943048214863,0.8952648042282386,0.3936465025972249,11.425790786743164,1.4393210411071775,ok,,800,640,0,200,0.3495702743530273,12,1e-05,True,11.28406286239624,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.8375,0.84375,0.8375,0.84375,4,True,False,,True,0.6,0.4,0.9939453155966476,0.0073441609451688,924,612,,True
steel_plates_faults,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/steel_plates_faults,multiclass,1552,311,389,27,7,0.8354755784061697,0.8359155505221217,0.8723250514917182,0.9820310881276004,0.3697059696253006,11.731192588806152,0.7996826171875,ok,,1552,1241,0,389,0.5593017935752869,19,1e-05,True,11.646897554397585,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.8167202572347267,0.8392282958199357,0.8167202572347267,0.8392282958199357,11,True,False,,True,0.6,0.4,0.997289978827908,0.0026490982705265,2831,1881,,True
vehicle,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/vehicle,multiclass,676,136,170,18,4,0.8764705882352941,0.87399709513435,0.8766233766233766,0.9753858337842712,0.2570334968120554,6.147740602493286,0.8889749050140381,ok,,676,540,0,170,0.1041754707694053,11,1e-05,True,6.101099014282227,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.9044117647058824,0.9117647058823528,0.9044117647058824,0.9117647058823528,3,True,False,,True,0.6,0.4,0.9941969550017156,0.0060234304447267,715,473,,True
wine-quality-red,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/wine-quality-red,multiclass,1279,256,320,4,6,0.68125,0.6676765616603394,0.3931627859477124,0.8434698027087596,0.7963208346593631,8.920322179794312,0.3887805938720703,ok,,1279,1023,0,320,1.1884787678718567,20,1e-05,True,8.892681360244751,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.6484375,0.671875,0.6484375,0.671875,12,True,False,,True,0.6,0.4,0.998947562364971,0.0014473516225548,2440,1640,,True
Basketball_c,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Basketball_c,binclass,1072,215,268,11,2,0.7014925373134329,0.7002842928216062,0.6796598157335223,0.7423222300968579,0.5794081302706908,10.868090867996216,0.4152016639709472,ok,,1072,857,0,268,0.5656314492225647,12,1e-05,True,10.823724746704102,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.7581395348837209,0.7767441860465116,0.7581395348837209,0.7767441860465116,4,True,False,,True,0.6,0.4,0.9968710504544872,0.0044699149958345,1236,816,,True
FOREX_audcad-day-High,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/FOREX_audcad-day-High,binclass,1467,294,367,10,2,0.7465940054495913,0.7464998647714711,0.7463613140854275,0.8324719301372304,0.5055841236308091,6.010019063949585,0.6147630214691162,ok,,1467,1173,0,367,0.4688147753477096,11,1e-05,True,5.96632719039917,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.7108843537414966,0.7244897959183674,0.7108843537414966,0.7244897959183674,3,True,False,,True,0.6,0.4,0.9928411437775984,0.0075031396486692,1540,1034,,True
FOREX_audjpy-day-High,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/FOREX_audjpy-day-High,binclass,1465,293,367,10,2,0.784741144414169,0.7846130455958218,0.7841388740265145,0.8563700136733844,0.4745525020172188,6.75162935256958,0.5045783519744873,ok,,1465,1172,0,367,0.5237170457839966,13,1e-05,True,6.710102558135986,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.7508532423208191,0.7610921501706485,0.7508532423208191,0.7610921501706485,5,True,False,,True,0.6,0.4,0.9919708433862896,0.0073741308552359,1820,1222,,True
Fitness_Club_c,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Fitness_Club_c,binclass,1200,240,300,6,2,0.7966666666666666,0.792733543259859,0.7423891897576108,0.8227036121772964,0.4569690224793739,9.507561922073364,0.359100341796875,ok,,1200,960,0,300,0.5452957153320312,19,1e-05,True,9.457265853881836,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.7666666666666667,0.7791666666666667,0.7666666666666667,0.7791666666666667,11,True,False,,True,0.6,0.4,0.997771684946329,0.0019315108842398,2185,1463,,True
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,binclass,1280,256,320,20,2,0.684375,0.6842238962003302,0.684375,0.7625585937500001,0.5614689531317738,8.600989818572998,0.5715732574462891,ok,,1280,1024,0,320,0.4970479756593704,13,1e-05,True,8.497981548309326,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.671875,0.67578125,0.671875,0.67578125,5,True,False,,True,0.6,0.4,0.9991426535321576,0.0011451960712902,1586,1066,,True
Is-this-a-good-customer,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Is-this-a-good-customer,binclass,1378,276,345,13,2,0.881159420289855,0.8282083919519438,0.4983606557377049,0.7392622950819672,0.3251110707289074,4.896677732467651,0.5659275054931641,ok,,1378,1102,0,345,0.6303558051586151,8,1e-05,True,4.805033445358276,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.9130434782608696,0.9130434782608696,0.9130434782608696,0.9130434782608696,0,True,False,,True,0.6,0.4,0.9981722501868552,0.0016460917814854,1056,704,,True
Performance-Prediction,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Performance-Prediction,binclass,1072,215,268,19,2,0.746268656716418,0.7391015545585111,0.7067718606180144,0.8073336919490766,0.5237281248945164,5.336836814880371,0.4414162635803222,ok,,1072,857,0,268,0.5264728367328644,8,1e-05,True,5.29098916053772,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.6976744186046512,0.6976744186046512,0.6976744186046512,0.6976744186046512,0,True,False,,True,0.6,0.4,0.9961231530409808,0.0054857124511084,824,544,,True
Pima_Indians_Diabetes_Database,/home/crc00006699/zh/tabiclv2/data200_by_rows/small_lt2000/Pima_Indians_Diabetes_Database,binclass,614,123,154,8,2,0.7272727272727273,0.7179459691252145,0.675,0.8605555555555555,0.4647669453653706,4.548439264297485,0.6085526943206787,ok,,614,491,0,154,0.5241571366786957,11,1e-05,True,4.506741285324097,full_train_epoch_chunks,full train set chunked per epoch | validation=dataset_val_split | c_selection=col_attention_mix source=test ratio=0.600 random_ratio=0.400,30,1,epoch_chunk,accuracy,0.7723577235772358,0.7886178861788617,0.7723577235772358,0.7886178861788617,3,True,False,,True,0.6,0.4,0.9974541501012494,0.0029799531516699,649,429,,True
